study_accession	sample_accession	secondary_sample_accession	run_accession	sample_title
PRJEB13747	SAMEA3944520	ERS1131654	ERR1382531	Plate13.27
PRJEB13747	SAMEA3945542	ERS1132676	ERR1382532	Plate28.85
PRJEB13747	SAMEA3943546	ERS1130680	ERR1382533	Plate44.20
PRJEB13747	SAMEA3945505	ERS1132639	ERR1382534	Plate27.45
PRJEB13747	SAMEA3945800	ERS1132934	ERR1382535	Plate31.93
PRJEB13747	SAMEA3944124	ERS1131258	ERR1382536	High1.65
PRJEB13747	SAMEA3943456	ERS1130590	ERR1382537	Plate40.1
PRJEB13747	SAMEA3944231	ERS1131365	ERR1382538	Low1.15
PRJEB13747	SAMEA3944711	ERS1131845	ERR1382539	Plate15.34
PRJEB13747	SAMEA3946253	ERS1133387	ERR1382540	Plate8.35
PRJEB13747	SAMEA3945742	ERS1132876	ERR1382541	Plate30.44
PRJEB13747	SAMEA3945710	ERS1132844	ERR1382542	Plate30.43
PRJEB13747	SAMEA3944744	ERS1131878	ERR1382543	Plate16.46
PRJEB13747	SAMEA3944180	ERS1131314	ERR1382544	High2.20
PRJEB13747	SAMEA3943138	ERS1130272	ERR1382545	Plate34.2.4
PRJEB13747	SAMEA3944855	ERS1131989	ERR1382546	Plate18.82
PRJEB13747	SAMEA3945597	ERS1132731	ERR1382547	Plate28.40
PRJEB13747	SAMEA3944269	ERS1131403	ERR1382548	Low1.36
PRJEB13747	SAMEA3944972	ERS1132106	ERR1382549	Plate20.7
PRJEB13747	SAMEA3944137	ERS1131271	ERR1382550	High1.64
PRJEB13747	SAMEA3946352	ERS1133486	ERR1382551	PlateRedo1.46
PRJEB13747	SAMEA3944950	ERS1132084	ERR1382552	Plate19.16
PRJEB13747	SAMEA3945594	ERS1132728	ERR1382553	Plate28.95
PRJEB13747	SAMEA3945388	ERS1132522	ERR1382554	Plate25.91
PRJEB13747	SAMEA3945199	ERS1132333	ERR1382555	Plate23.24
PRJEB13747	SAMEA3943782	ERS1130916	ERR1382556	Plate47.34
PRJEB13747	SAMEA3945223	ERS1132357	ERR1382557	Plate23.64
PRJEB13747	SAMEA3943764	ERS1130898	ERR1382558	Plate47.53
PRJEB13747	SAMEA3944305	ERS1131439	ERR1382559	Low2.30
PRJEB13747	SAMEA3944698	ERS1131832	ERR1382560	Plate15.10
PRJEB13747	SAMEA3944723	ERS1131857	ERR1382561	Plate16.52
PRJEB13747	SAMEA3946260	ERS1133394	ERR1382562	Plate8.49
PRJEB13747	SAMEA3943161	ERS1130295	ERR1382563	Plate34.2.63
PRJEB13747	SAMEA3946154	ERS1133288	ERR1382564	Plate6.93
PRJEB13747	SAMEA3946372	ERS1133506	ERR1382565	PlateRedo1.48
PRJEB13747	SAMEA3944677	ERS1131811	ERR1382566	Plate15.55
PRJEB13747	SAMEA3943255	ERS1130389	ERR1382567	Plate35.86
PRJEB13747	SAMEA3944028	ERS1131162	ERR1382568	Plate43.62
PRJEB13747	SAMEA3944753	ERS1131887	ERR1382569	Plate16.39
PRJEB13747	SAMEA3946096	ERS1133230	ERR1382570	Plate6.76
PRJEB13747	SAMEA3945187	ERS1132321	ERR1382571	Plate23.54
PRJEB13747	SAMEA3944668	ERS1131802	ERR1382572	Plate15.80
